                  Time        error x        error y        error z
252742560.000000000000000         -0.009          0.025          0.008
252742570.000000000000000          0.001          0.031          0.007
252742580.000000000000000          0.000          0.039          0.011
252742590.000000000000000         -0.009          0.026          0.009
252742600.000000000000000         -0.018          0.029          0.009
252742610.000000000000000         -0.011          0.032          0.011
252742620.000000000000000         -0.012          0.023          0.009
252742630.000000000000000         -0.007          0.022          0.006
252742640.000000000000000         -0.016          0.011          0.008
252742650.000000000000000         -0.008          0.026          0.007
252742660.000000000000000         -0.003          0.033          0.002
252742670.000000000000000         -0.009          0.038          0.007
252742680.000000000000000         -0.007          0.025          0.008
252742690.000000000000000         -0.012          0.028          0.010
252742700.000000000000000         -0.010          0.033          0.007
252742710.000000000000000         -0.010          0.021          0.008
252742720.000000000000000         -0.007          0.033          0.006
252742730.000000000000000         -0.004          0.040          0.007
252742740.000000000000000         -0.003          0.026          0.005
252742750.000000000000000         -0.014          0.025          0.011
252742760.000000000000000         -0.002          0.041          0.009
252742770.000000000000000         -0.006          0.030          0.006
252742780.000000000000000         -0.005          0.034          0.001
252742790.000000000000000         -0.013          0.029          0.002
252742800.000000000000000         -0.004          0.031          0.008
252742810.000000000000000         -0.003          0.022          0.010
252742820.000000000000000         -0.005          0.039          0.012
252742830.000000000000000         -0.008          0.028          0.005
252742840.000000000000000         -0.008          0.020          0.005
252742850.000000000000000         -0.009          0.031          0.006
252742860.000000000000000         -0.010          0.029          0.004
252742870.000000000000000         -0.005          0.046          0.007
252742880.000000000000000         -0.010          0.044         -0.002
252742890.000000000000000         -0.011          0.032          0.006
252742900.000000000000000         -0.011          0.038          0.010
252742910.000000000000000         -0.006          0.054          0.015
252742920.000000000000000         -0.009          0.032          0.003
252742930.000000000000000         -0.008          0.014         -0.007
252742940.000000000000000         -0.015          0.021         -0.002
252742950.000000000000000         -0.012          0.027          0.005
252742960.000000000000000         -0.001          0.052          0.008
252742970.000000000000000         -0.005          0.035          0.001
252742980.000000000000000         -0.007          0.038          0.005
252742990.000000000000000         -0.014          0.028          0.001
252743000.000000000000000         -0.016          0.025          0.002
252743010.000000000000000         -0.011          0.031          0.004
252743020.000000000000000         -0.008          0.032         -0.000
252743030.000000000000000         -0.013          0.028          0.004
252743040.000000000000000         -0.009          0.035          0.004
252743050.000000000000000          0.000          0.051          0.012
252743060.000000000000000          0.000          0.044          0.010
252743070.000000000000000         -0.008          0.034          0.003
252743080.000000000000000         -0.014          0.023         -0.008
252743090.000000000000000         -0.013          0.031         -0.001
252743100.000000000000000         -0.008          0.032          0.001
252743110.000000000000000         -0.009          0.024          0.002
252743120.000000000000000         -0.008          0.033          0.008
252743130.000000000000000         -0.011          0.029          0.002
252743140.000000000000000         -0.004          0.041         -0.000
252743150.000000000000000         -0.004          0.040         -0.000
252743160.000000000000000         -0.008          0.020         -0.002
252743170.000000000000000         -0.008          0.021         -0.002
252743180.000000000000000         -0.009          0.018         -0.006
252743190.000000000000000         -0.007          0.022         -0.003
252743200.000000000000000         -0.006          0.016         -0.005
252743210.000000000000000         -0.011          0.012         -0.011
